,respondent 0,respondent 1,respondent 2,respondent 3,respondent 4,respondent 5,respondent 6,respondent 7,respondent 8,respondent 9,respondent 10,respondent 11,respondent 12,respondent 13,respondent 14,respondent 15,respondent 16,respondent 17,respondent 18,respondent 19,respondent 20,respondent 21,respondent 22,respondent 23,respondent 24,respondent 25,respondent 26,respondent 27,respondent 28,respondent 29,respondent 30,respondent 31,respondent 32,respondent 33,std,mean,nonmissing
aeroplane,3.0,5.0,3.0,5.0,4.0,4.0,5.0,4.0,5.0,2.0,4.0,5.0,3.0,4.0,3.0,5.0,3.0,4.0,5.0,4.0,2.0,,5.0,5.0,3.0,5.0,5.0,5.0,2.0,3.0,2.0,2.0,3.0,3.0,1.111237366564176,3.787878787878788,33
bicycle,4.0,5.0,5.0,5.0,4.0,5.0,4.0,2.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,4.0,3.0,5.0,5.0,5.0,3.0,3.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,2.0,5.0,4.0,4.0,0.878034590168848,4.323529411764706,34
bus,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,3.0,3.0,3.0,5.0,0.6290643251160328,4.705882352941177,34
helicopter,2.0,4.0,2.0,3.0,2.0,4.0,1.0,1.0,3.0,2.0,1.0,3.0,2.0,4.0,1.0,2.0,2.0,3.0,4.0,3.0,2.0,2.0,2.0,3.0,2.0,5.0,5.0,3.0,1.0,2.0,2.0,1.0,2.0,2.0,1.1062132095053536,2.4411764705882355,34
lorry,5.0,5.0,4.0,4.0,3.0,5.0,1.0,2.0,4.0,2.0,2.0,4.0,4.0,5.0,4.0,5.0,5.0,4.0,5.0,4.0,3.0,2.0,5.0,4.0,4.0,5.0,4.0,4.0,2.0,2.0,3.0,2.0,4.0,5.0,1.1941628680530643,3.7058823529411766,34
motorbike,5.0,5.0,3.0,4.0,5.0,2.0,5.0,3.0,5.0,3.0,3.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,3.0,4.0,4.0,4.0,5.0,5.0,5.0,3.0,3.0,3.0,4.0,3.0,5.0,0.9364856366189408,4.176470588235294,34
sledge,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,4.0,1.0,2.0,1.0,4.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8257228238447705,1.5,34
train,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,4.0,3.0,3.0,4.0,5.0,0.6458423178030691,4.647058823529412,34
