features,feature type,dominance,distinctiveness,proportion of all intercorrelations significant
is a container,categorising,0.15,0.44,
is stationery,categorising,0.2,0.06,
has gummed edge,sensory,0.8,0.06,0.05
has flap,sensory,0.7,0.06,0.09
is made of paper,sensory,0.65,0.06,0.05
is square,sensory,0.3,0.31,0.16
is in different sizes,sensory,0.25,0.12,0.1
is white,sensory,0.25,0.19,0.15
has front,sensory,0.2,0.06,0.05
is brown,sensory,0.2,0.12,0.09
is flat,sensory,0.2,0.06,0.05
has back,sensory,0.15,0.12,0.06
has fold,sensory,0.15,0.06,0.05
has window,sensory,0.15,0.06,0.19
is light,sensory,0.15,0.44,0.02
can hold a letter,functional,0.85,0.06,0.05
can be posted,functional,0.6,0.06,0.05
can be stamped,functional,0.55,0.06,0.05
can be addressed,functional,0.45,0.06,0.05
can be stuck down,functional,0.25,0.06,0.05
is useful,functional,0.2,0.75,0.01
can be delivered,functional,0.15,0.06,0.05
