features,feature type,dominance,distinctiveness,proportion of all intercorrelations significant
is a household item,categorising,0.35,0.75,
is a tool,categorising,0.45,0.5,
is made of metal,sensory,0.9,0.56,0.04
has teeth,sensory,0.55,0.12,0.06
has handle,sensory,0.35,0.5,0.03
is small,sensory,0.35,0.69,0.03
is hard,sensory,0.21,0.44,0.02
has pattern,sensory,0.2,0.06,0.04
has shaft/stem,sensory,0.2,0.06,0.04
has hole,sensory,0.15,0.06,0.04
can open doors,functional,0.85,0.06,0.04
can lock doors,functional,0.65,0.06,0.04
can be turned,functional,0.35,0.06,0.04
can be hung on a ring,functional,0.25,0.06,0.04
can be inserted,functional,0.2,0.12,0.08
can be lost,functional,0.2,0.12,0.09
can be carried,functional,0.15,0.56,0.04
can be copied,functional,0.15,0.06,0.04
can be cut,functional,0.15,0.12,0.08
can start cars,functional,0.15,0.06,0.04
is useful,functional,0.15,0.75,0.01
is unique,encyclopaedic,0.2,0.06,0.04
