features,feature type,dominance,distinctiveness,proportion of all intercorrelations significant
is a household item,categorising,0.25,0.75,
is a toiletry,categorising,0.3,0.12,
is a tool,categorising,0.35,0.5,
has teeth,sensory,1.0,0.12,0.06
is made of plastic,sensory,0.65,0.5,0.03
is small,sensory,0.3,0.69,0.03
has back,sensory,0.25,0.12,0.06
is made of metal,sensory,0.25,0.56,0.04
has handle,sensory,0.2,0.5,0.03
is coloured,sensory,0.2,0.44,0.04
is hard,sensory,0.15,0.44,0.02
is long and/or thin,sensory,0.15,0.25,0.02
can tidy hair,functional,0.8,0.06,0.01
is useful,functional,0.3,0.75,0.01
can be put in pocket,functional,0.2,0.06,0.01
can be broken,functional,0.15,0.19,0.09
can be carried,functional,0.15,0.56,0.04
can be played,functional,0.15,0.12,0.07
