features,feature type,dominance,distinctiveness,proportion of all intercorrelations significant
is a vegetable,categorising,0.4,0.17,
is a fruit,categorising,0.7,1.0,
has skin,sensory,1.0,1.0,0.1
is red,sensory,0.95,0.5,0.1
has pips,sensory,0.85,0.67,0.15
is round,sensory,0.65,0.67,0.13
has flesh,sensory,0.6,1.0,0.22
has leaves,sensory,0.4,0.83,0.19
is juicy,sensory,0.4,0.83,0.18
has stalk,sensory,0.35,0.67,0.15
is soft,sensory,0.2,0.33,0.1
is small,sensory,0.15,0.5,0.02
is sweet,sensory,0.15,1.0,0.22
is edible,functional,0.7,1.0,0.1
can be cooked,functional,0.5,0.83,0.17
can be eaten raw,functional,0.25,0.17,0.06
can ripen,functional,0.2,0.5,0.13
can be picked,functional,0.15,0.67,0.15
can fall,functional,0.15,0.33,0.1
can grow,encyclopaedic,0.65,0.5,0.13
is found in salad,encyclopaedic,0.3,0.17,0.06
is found in tins,encyclopaedic,0.25,0.33,0.08
is common,encyclopaedic,0.15,0.17,0.06
