features,feature type,dominance,distinctiveness,proportion of all intercorrelations significant
is a fruit,categorising,1.0,1.0,
has skin,sensory,0.7,1.0,0.1
is sweet,sensory,0.7,1.0,0.22
has leaves,sensory,0.65,0.83,0.19
has flesh,sensory,0.6,1.0,0.22
is juicy,sensory,0.6,0.83,0.18
has rough skin,sensory,0.4,0.17,0.06
has spikes,sensory,0.4,0.17,0.06
is yellow,sensory,0.4,0.33,0.08
has core,sensory,0.35,0.33,0.1
is hard,sensory,0.25,0.33,0.09
is oval/round,sensory,0.25,0.17,0.06
has yellow flesh,sensory,0.2,0.17,0.06
has spikey leaves,sensory,0.15,0.17,0.06
is large,sensory,0.15,0.17,0.06
is edible,functional,0.85,1.0,0.1
can be cut,functional,0.4,0.17,0.06
can be peeled,functional,0.25,0.17,0.06
can be picked,functional,0.15,0.67,0.15
is found in the tropics,encyclopaedic,0.4,0.33,0.07
can grow,encyclopaedic,0.35,0.5,0.13
is found in tins,encyclopaedic,0.3,0.33,0.08
